alder,count,_borrow,_constr,_corr_abs,_corr_norm,_illiqworth_cond_mean,_illiqworth_cond_p25,_illiqworth_cond_p50,_illiqworth_cond_p75,_illiqworth_mean,_illiqworth_p25,_illiqworth_p50,_illiqworth_p75,_inheritance_mean,_inheritance_p25,_inheritance_p50,_inheritance_p75,_liqworth_mean,_liqworth_p25,_liqworth_p50,_liqworth_p75,_neg_netw,_networth_mean,_networth_p25,_networth_p50,_networth_p75,_not_constr,_perminc_mean,_perminc_p25,_perminc_p50,_perminc_p75,_pos_illiqworth,_pos_liqworth
25,855,.64093566,.44912282,.033964887,.037595317,1.3696494,.16978772,.73898333,1.6246673,.32220349,0,0,.057454851,.93245995,.38725087,.59607089,1.0360137,-.34241948,-.87271076,-.27002385,.16166359,.56491226,.047938265,-.77819788,-.13529406,.45409182,.55087721,133379.48,93867.695,133415.81,167353.61,.29122806,.35672516
26,989,.65419614,.46208292,.017625438,.048221577,1.3966452,.16553229,.72821242,1.7240095,.34033602,0,0,.10021232,.94475031,.38782695,.60932541,1.0431499,-.36507306,-.95988613,-.30950955,.14860143,.58038425,.050544053,-.83274281,-.1661223,.43197593,.53791708,143855.28,102207.45,145237.58,179148.81,.30333671,.34479272
27,1147,.64254576,.46556234,.071853168,.042019203,1.4255502,.18250726,.73406971,1.7633673,.36275685,0,0,.20235494,.94571763,.38658169,.60920501,1.0381655,-.27566516,-.93685353,-.30266231,.18672898,.58238882,.1695025,-.83515024,-.1628456,.55544692,.53443766,153681.41,116564.16,155197.55,188171.53,.34263295,.35571054
28,1355,.64501846,.44649446,.10793672,.085886925,1.5105442,.28430039,.78266501,1.8062673,.43337053,0,0,.45993423,.91208565,.38013947,.59434891,1.0133966,-.31056026,-.96146876,-.26937851,.15359031,.56088561,.18480293,-.88252151,-.12016377,.66750485,.55350554,161077.83,128179.1,162906.47,195378.81,.37712178,.34981549
29,1589,.66582757,.44052863,.13744006,.11753564,1.551013,.30020708,.89209145,1.9212873,.53571326,0,0,.62254262,.90352094,.37980071,.58755362,1.0211618,-.33260268,-.96066618,-.30194023,.11513652,.55947137,.27612165,-.84671533,-.10803378,.72905844,.55947137,169940.02,136865.98,172455.75,205152,.41095027,.32913783
30,1837,.66358191,.42896026,.15142111,.11348257,1.6569811,.37410712,.95622957,2.231523,.58232337,0,0,.71662855,.88268793,.37734526,.58404988,1.0045775,-.31109136,-.93898189,-.30297494,.11654818,.54599893,.35664394,-.83478236,-.080149025,.82929742,.57103974,177497.67,144973.83,180092.38,211970.81,.42678279,.3309744
31,2132,.65431517,.4151032,.14529221,.094198927,1.6988864,.343741,.95368069,2.1612012,.67788565,0,0,.8626706,.8622337,.37780896,.57971454,.97599053,-.28229859,-.84949082,-.2745133,.13907433,.52298313,.47408992,-.72100395,-.04874187,1.0215352,.5848968,184795.66,152671.8,185296.67,218723.13,.46857411,.34146342
32,2462,.63322502,.39236394,.10901969,.054918971,1.7908514,.42826593,1.0469896,2.2477889,.71516961,0,0,1.0116563,.84073484,.37619403,.57823932,.95986068,-.24278404,-.83232516,-.23582083,.17339465,.50365555,.55672723,-.67211056,-.0068869814,1.1654018,.60763609,191381.25,158327.47,191270.27,224646.67,.4857839,.36271325
33,2778,.63642907,.37652987,.10769462,.065919943,1.8243302,.45734558,1.1121389,2.267592,.79964107,0,.013434144,1.1515169,.82526714,.37201607,.56706101,.93300337,-.24212123,-.79744029,-.23011427,.16545546,.48308134,.63207775,-.63420832,.028014315,1.287691,.62347013,196995.41,162798.52,195727.92,230248.34,.51007921,.36069113
34,3119,.60884899,.3558833,.18350086,.10174607,1.83673,.45853242,1.1671103,2.313319,.83705628,0,.044112977,1.275124,.81885356,.37290317,.56208712,.92195457,-.22334404,-.74724913,-.19844764,.18889491,.46264827,.68009841,-.57368571,.07406427,1.485249,.6441167,201715.7,166552.13,198982,235226.28,.52709204,.38762423
35,3461,.6053164,.35249928,.16297717,.10478508,1.8564625,.45961589,1.2094066,2.394459,.88623768,0,.10904326,1.37609,.82282001,.3757109,.5645681,.9208141,-.2056361,-.73681575,-.19628264,.22518647,.44958106,.74018794,-.57551503,.12640241,1.5852561,.64750069,205305.16,169160.19,202353.88,239213.7,.54897428,.39179426
